service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
G2601L_A96_008-07,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_008-08,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_008-09,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_008-10,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_008-11,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_009-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_009-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_010-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_010-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_011-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_011-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_011-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_011-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_011-05,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_011-06,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_011-07,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_011-08,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_011-09,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_011-10,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_011-11,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_011-12,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_014-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_014-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_014-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_014-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_014-05,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_015-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_015-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_015-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_015-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_015-05,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_015-06,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_015-07,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_015-08,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_015-09,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_015-10,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_015-11,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_015-12,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_015-13,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_015-14,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_015-15,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_015-16,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_015-17,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_017-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_017-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_017-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_017-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_017-05,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_018-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_018-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_018-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_018-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_018-05,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_018-06,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_018-07,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_018-08,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_019-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_019-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_019-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_019-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_019-05,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_019-06,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_020-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_020-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_020-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_020-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_020-05,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_020-06,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_020-07,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_020-08,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_020-09,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_020-10,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_020-11,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_020-12,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_020-13,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_020-14,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_021-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_021-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_021-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_021-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_021-05,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_021-06,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_021-07,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_021-08,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_021-09,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_021-10,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_021-11,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_021-12,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_022-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_022-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_022-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_022-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_022-05,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_022-06,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_022-07,0,0,0,0,0,0,0,20260504,20260508
